employee_id,group,score
184,A,3.736571046
185,A,4.545257223
186,A,4.279575548
187,A,4.881044774
188,A,5
189,A,4.119202489
190,A,3.647949278
191,A,4.375983286
192,A,3.693370778
193,A,5
194,A,4.181921199
195,A,3.880807069
196,A,4.210808184
197,A,3.291724226
198,A,3.517031577
199,A,4.820248345
200,A,3.705863433
201,A,3.47185341
202,A,4.421991652
203,A,4.811422493
204,A,4.531371986
205,A,4.697628611
206,A,3.645922947
207,A,3.2469136
208,A,5
209,A,3.906392097
210,A,3.94950019
211,A,4.896916485
212,A,4.433738006
213,A,4.373532663
214,A,5
215,A,3.713889062
216,A,4.656704077
217,A,4.134207875
218,A,4.261155367
219,A,5
220,A,4.404701454
221,A,4.422977647
222,A,4.743504402
223,A,3.881028362
224,A,3.5964742
225,A,3.473114484
226,A,2.920186046
227,A,5
228,A,3.438074981
229,A,3.967247826
230,A,3.93391202
231,A,4.284444019
232,A,4.589442328
233,A,4.616284093
234,A,3.750153537
235,A,3.999726972
236,A,4.26954797
237,A,3.950785324
238,A,5
239,A,4.394584971
240,A,4.540926672
241,A,4.497728761
242,A,4.804084314
243,A,4.208612935
244,A,3.321900831
245,A,4.339812771
246,A,3.709185864
247,A,3.782829991
248,A,4.451818411
249,A,4.842969843
250,A,4.112762946
251,A,4.285299808
252,A,5
253,A,4.244451908
254,A,5
255,A,4.439305787
256,A,3.043542345
257,A,4.552004973
258,A,4.328695031
259,A,4.873851652
260,A,4.503908811
261,A,4.01692641
262,A,3.365421058
263,A,3.974586046
264,A,3.589687727
265,A,3.75168593
266,A,4.453147043
267,A,5
268,A,4.336802918
269,A,3.382470163
270,A,4.366761601
271,A,4.817978892
272,A,3.734130257
273,A,4.0195897
274,A,4.108812917
275,A,3.629061012
276,A,4.48896826
277,A,4.027431111
278,A,4.351719466
279,A,3.567504693
280,A,3.83752502
281,A,4.533428815
282,A,3.876300109
283,A,5
284,A,3.860218289
285,A,4.234810835
286,A,4.659554499
287,A,3.24898056
288,A,3.043514713
289,A,3.184606211
290,A,4.857550462
291,A,3.768885112
292,A,5
293,A,3.761451441
294,A,4.210730782
295,A,5
296,A,5
297,A,5
298,A,4.825019738
299,A,4.714437515
300,A,4.45551617
301,A,4.567016646
302,A,3.76928857
303,A,3.60908067
304,A,4.097975326
305,A,3.997889226
306,A,3.82806317
307,A,4.517832468
308,A,4.673183125
309,A,4.153044132
310,A,4.986518049
311,A,3.414986532
312,A,3.983804324
313,A,3.669906608
314,A,2.98007803
315,A,4.050391588
316,A,4.026951495
317,A,5
318,A,4.478487011
319,A,3.485487905
320,A,5
321,A,4.832620217
322,A,4.449258622
323,A,3.964109541
324,A,3.524336458
325,A,3.876675934
326,A,4.753249172
327,A,5
328,A,5
329,A,3.806690347
330,A,3.42822954
331,A,4.184531748
332,A,3.038936381
333,A,4.293900629
334,A,4.011438448
335,A,3.820378099
336,A,3.14317816
337,A,4.408160064
338,A,3.780379496
339,A,3.398049899
340,A,2.376642672
341,A,4.083491057
342,A,5
343,A,5
344,A,3.825742246
345,A,3.738672764
346,A,4.381264554
347,A,3.500968736
348,A,4.28107514
349,A,4.559648167
350,A,4.836159934
351,A,4.039907554
352,A,3.97779575
353,A,3.573210448
354,A,3.603871788
355,A,3.964112665
356,A,4.320419304
357,A,4.648150776
358,A,3.61809263
359,A,4.995613141
360,A,3.937325839
361,A,4.087179623
362,A,3.651672993
363,A,2.645455844
364,A,4.630427238
365,A,4.542106338
366,A,3.931203466
367,A,4.14019443
368,A,4.409563531
369,A,3.162472486
370,A,3.782568394
371,A,4.576558808
372,A,3.347426346
373,A,4.276134759
374,A,3.286050917
375,A,4.379857989
376,A,4.078615111
377,A,3.13092091
378,A,4.798843613
379,A,3.659245054
380,A,3.613848538
381,A,4.220341518
382,A,4.78918241
383,A,3.490506909
384,A,4.13700791
385,A,4.3572899
386,A,4.515863364
387,A,4.205864933
388,A,3.879783297
389,A,3.603445868
390,A,4.15168633
391,A,3.456716593
392,A,2.34718971
393,A,4.361935882
394,A,4.642360905
395,A,2.682240539
396,A,3.494161577
397,A,4.471492557
398,A,5
399,A,4.112476225
400,A,3.663198235
401,A,3.990262135
402,A,4.924925851
403,A,3.712421493
404,A,3.620484796
405,A,3.810353887
406,A,3.528002835
407,A,4.17360219
408,A,5
409,A,4.293847564
410,A,3.948587899
411,A,3.924913239
412,A,3.162085515
413,A,4.629865866
414,A,4.053297682
415,A,3.991712052
416,A,5
417,A,4.279251745
418,A,3.64892537
419,A,3.844185442
420,A,4.789067426
421,A,4.167962246
422,A,3.237033213
423,A,4.651537361
424,A,3.699113549
425,A,5
426,A,4.748028839
427,A,3.831606863
428,A,4.868609817
429,A,4.140713306
430,A,4.611664205
431,A,4.39083969
432,A,3.592186007
433,A,3.713870101
434,A,4.717976491
435,A,3.899134801
436,A,3.857810922
437,A,3.526926452
438,A,4.354159439
439,A,5
440,A,3.459480251
441,A,4.114531674
442,A,4.947332333
443,A,4.052215165
444,A,4.371423078
445,A,3.462563883
446,A,4.356984258
447,A,3.987713441
448,A,4.691437997
449,A,4.812431631
450,A,5
451,A,4.447779904
452,A,4.29547779
453,A,4.216630581
454,A,3.888100224
455,A,4.303090306
456,A,3.922759154
457,A,4.201076586
458,A,4.890558521
459,A,3.496074461
460,A,4.783927137
461,A,4.89026904
462,A,4.029158884
463,A,2.826887061
464,A,3.735306808
465,A,4.878196728
466,A,4.086279163
467,A,3.500418661
468,A,3.797135047
469,A,4.604372016
470,A,4.428040141
471,A,3.95664074
472,A,3.879905353
473,A,3.864945111
474,A,3.546553889
475,A,5
476,A,3.906607718
477,A,4.830295112
478,A,5
479,A,4.698986539
480,A,3.841027812
481,A,4.342238054
482,A,4.085482636
483,A,3.557778884
484,A,4.294615569
485,A,3.392576125
486,A,4.812607633
487,A,3.821229622
488,A,4.220695794
489,A,4.269972723
490,A,3.944657016
491,A,4.452016281
492,A,3.815057806
493,A,4.622778378
494,A,3.292412192
495,A,4.175827748
496,A,5
497,A,3.499801205
498,A,3.693353018
499,A,4.40834471
500,A,4.207749069
501,B,4.045441069
502,B,4.142430991
503,B,4.244305028
504,B,4.576789889
505,B,4.08687306
506,B,3.631119642
507,B,4.270801591
508,B,5
509,B,3.707156378
510,B,3.117829487
511,B,4.574956469
512,B,3.715733185
513,B,2.279131318
514,B,4.393195174
515,B,3.42527027
516,B,3.736626702
517,B,4.032386231
518,B,3.933349776
519,B,4.296616272
520,B,3.495159541
521,B,4.159174059
522,B,3.618317326
523,B,4.317167337
524,B,4.230757239
525,B,3.145192909
526,B,4.560187481
527,B,3.424825588
528,B,4.365640459
529,B,4.057101119
530,B,5
531,B,3.643573812
532,B,3.555478243
533,B,3.786406276
534,B,3.587774152
535,B,4.359959331
536,B,2.668582574
537,B,3.062422307
538,B,3.052537955
539,B,4.465215314
540,B,4.997429361
541,B,3.726885547
542,B,3.681824794
543,B,3.849036514
544,B,4.613314812
545,B,3.150852806
546,B,3.966858288
547,B,4.482638341
548,B,4.150765919
549,B,3.932707132
550,B,4.500732265
551,B,1.907737395
552,B,4.274512724
553,B,3.342147022
554,B,2.518556972
555,B,4.15784182
556,B,4.761560982
557,B,3.70378604
558,B,4.467012183
559,B,4.928594781
560,B,4.720440118
561,B,4.947975171
562,B,4.319489244
563,B,3.852803547
564,B,2.678623932
565,B,3.627756258
566,B,3.209727383
567,B,5
568,B,3.676879931
569,B,3.886243365
570,B,4.186039763
571,B,3.830521712
572,B,4.986535728
573,B,3.364145447
574,B,3.936225219
575,B,3.28027059
576,B,2.875984242
577,B,3.371761636
578,B,3.774074242
579,B,3.499488443
580,B,3.315305314
581,B,2.815577775
582,B,3.741826099
583,B,2.746695738
584,B,4.332039175
585,B,3.857707827
586,B,2.77971395
587,B,3.583553646
588,B,3.273490516
589,B,4.023422157
590,B,4.738315312
591,B,2.487379271
592,B,3.880518255
593,B,3.687907043
594,B,4.269938054
595,B,3.94923764
596,B,3.273621468
597,B,3.576662245
598,B,3.2427819
599,B,4.553204997
600,B,3.814918154
601,B,5
602,B,3.75753743
603,B,3.304115263
604,B,2.740399925
605,B,2.537802227
606,B,2.69110484
607,B,3.986988656
608,B,4.156107516
609,B,2.693166509
610,B,4.42652682
611,B,3.461857264
612,B,3.902755108
613,B,4.92855444
614,B,4.427787521
615,B,3.612028546
616,B,3.176165442
617,B,2.293729219
618,B,3.296592677
619,B,3.652208833
620,B,3.108974331
621,B,3.708120123
622,B,3.853796318
623,B,3.642600813
624,B,3.344998193
625,B,3.91805827
626,B,4.109358455
627,B,3.036720646
628,B,4.787652666
629,B,3.730988307
630,B,3.813194736
631,B,4.295750096
632,B,3.963251292
633,B,4.467195644
634,B,4.000986916
635,B,3.371293838
636,B,4.053052468
637,B,2.999391655
638,B,3.875991794
639,B,3.776739007
640,B,3.6543182
641,B,3.710023742
642,B,2.482705668
643,B,3.415892565
644,B,3.864991431
645,B,3.911899474
646,B,3.080627401
647,B,4.685995489
648,B,3.193677606
649,B,4.47862004
650,B,4.099036053
651,B,3.347640883
652,B,5
653,B,2.964454218
654,B,4.443407922
655,B,4.500407623
656,B,3.330565854
657,B,4.77472571
658,B,3.62496744
659,B,4.00208554
660,B,3.982225287
661,B,3.705983881
662,B,4.367565791
663,B,4.355442104
664,B,2.576027619
665,B,4.71303817
666,B,2.636255608
667,B,4.522782343
668,B,4.588693596
669,B,3.036323499
670,B,3.512429998
671,B,3.026006732
672,B,3.649555279
673,B,3.584376001
674,B,4.345762373
675,B,4.717216122
676,B,4.776978668
677,B,3.406482381
678,B,3.653544688
679,B,2.621593265
680,B,3.235890953
681,B,4.475396143
682,B,4.930907976
683,B,2.93595579
684,B,3.385275019
685,B,3.78151597
686,B,3.996112811
687,B,3.233277536
688,B,4.096842731
689,B,3.468312457
690,B,3.78988341
691,B,4.182398974
692,B,3.804495589
693,B,3.494529877
694,B,3.723273137
695,B,3.738145929
696,B,3.540992279
697,B,3.618842756
698,B,4.919053019
699,B,4.192643614
700,B,3.593163777
701,B,4.287868083
702,B,3.566326357
703,B,4.621187246
704,B,4.058749535
705,B,3.724888499
706,B,4.113401848
707,B,2.700386694
708,B,3.011262772
709,B,2.964252496
710,B,3.900060166
711,B,5
712,B,5
713,B,4.246635771
714,B,4.150591132
715,B,2.539259586
716,B,3.42012834
717,B,3.248551374
718,B,3.365406681
719,B,3.682299327
720,B,3.469536596
721,B,2.414490133
722,B,4.323537179
723,B,3.049079882
724,B,3.967472805
725,B,5
726,B,3.156430786
727,B,2.028798734
728,B,3.599797045
729,B,4.570671744
730,B,5
731,B,2.939315284
732,B,4.147689456
733,B,3.47428268
734,B,3.725836152
735,B,5
736,B,2.74792077
737,B,3.977617763
738,B,4.12738522
739,B,4.560050427
740,B,3.868588207
741,B,4.015635378
742,B,3.525846003
743,B,3.988388859
744,B,3.559765407
745,B,4.235100323
746,B,3.541272765
747,B,4.063970276
748,B,3.77951603
749,B,4.588235176
750,B,3.764024393
751,B,2.558877272
752,B,4.68334505
753,B,3.165987389
754,B,3.342363563
755,B,3.383037094
756,B,4.762106665
757,B,2.30502805
758,B,5
759,B,4.539239766
760,B,3.95626724
761,B,3.7615742
762,B,3.999887852
763,B,4.1647857
764,B,4.25165091
765,B,4.188923126
766,B,3.862706477
767,B,3.661863106
768,B,3.694108701
769,B,3.663564204
770,B,4.593639068
771,B,4.215489706
772,B,1.741727956
773,B,4.259130544
774,B,3.936315336
775,B,3.78690387
776,B,3.528037083
777,B,4.586878904
778,B,4.463268523
779,B,3.258985633
780,B,4.084936601
781,B,3.119840286
782,B,2.834267285
783,B,3.361297943
784,B,4.403675431
785,B,4.467187532
786,B,4.159159794
787,B,4.307567051
788,B,4.161324801
789,B,3.350962883
790,B,4.102345781
791,B,4.360286668
792,B,4.328003931
793,B,4.63223936
794,B,4.295812693
795,B,4.046013745
796,B,4.549105167
797,B,3.781435119
798,B,3.182687744
799,B,3.685853125
800,B,3.278568149
801,B,3.327375208
802,B,3.69883693
803,B,3.245306055
804,B,3.584426929
805,B,2.474469733
806,B,3.949305595
807,B,3.800843833
808,B,3.228037958
809,B,4.261471968
810,B,4.456299096
811,B,2.674708095
812,B,3.266092655
813,B,3.261600355
814,B,3.142067829
815,B,4.380632389
816,B,3.664321703
817,B,3.614839611
818,B,2.397296345
819,B,4.244792621
820,B,2.932519124
821,B,3.841952841
822,B,3.994163857
823,B,4.752461017
824,B,2.883825721
825,B,1.686341491
826,B,3.928694681
827,B,5
828,B,4.667262447
829,B,3.946761591
830,B,3.45585467
831,B,4.364985818
832,B,3.11851766
833,B,4.133450439
834,B,4.153829111
835,B,4.542146935
836,B,5
837,B,4.074691177
838,B,3.443725462
839,B,3.782097981
840,B,2.561646867
841,B,3.313700808
842,B,3.513502293
843,B,3.433138121
844,B,3.90664841
845,B,3.224306047
846,B,4.584721467
847,B,3.800144945
848,B,3.793489775
849,B,3.570473698
850,B,3.908633479
851,B,4.377568785
852,B,3.193008849
853,B,3.339318458
854,B,3.58739178
855,B,2.857890354
856,B,3.226519498
857,B,3.466645389
858,B,4.412072426
859,B,3.98379293
860,B,3.935512938
861,B,4.395628574
862,B,3.703839748
863,B,4.073325395
864,B,3.727744773
865,B,3.985753645
866,B,3.39206894
867,B,2.092827989
868,B,3.706004586
869,B,4.795923695
870,B,4.448350782
871,B,4.475778239
872,B,4.665291505
873,B,3.862060314
874,B,3.938120995
875,B,3.367643673
876,B,3.578749001
877,B,4.231039805
878,B,4.642719106
879,B,3.702387607
880,B,3.484867515
881,B,3.800369571
882,B,4.220844724
883,B,2.789301629
884,B,2.192673333
885,B,3.414624205
886,B,2.945501302
887,B,3.444301862
888,B,3.696553777
889,B,3.482726114
890,B,4.816727274
891,B,4.028721335
892,B,4.010332052
893,B,4.235545001
894,B,3.002816818
895,B,4.527378251
896,B,3.746964999
897,B,4.269336432
898,B,3.049699937
899,B,2.712368864
900,B,4.372522761
901,B,4.063486668
902,B,3.168563912
903,B,3.191235843
904,B,4.587804349
905,B,2.967411675
906,B,4.949871067
907,B,3.169565486
908,B,4.246874348
909,B,3.569967067
910,B,4.222231202
911,B,3.419120199
912,B,3.686044966
913,B,3.828643423
914,B,3.098468781
915,B,4.318577042
916,B,3.440750503
917,B,3.639980059
918,B,3.103955438
919,B,2.006366439
920,B,3.666280566
921,B,5
922,B,4.349223002
923,B,3.786517734
924,B,3.61597642
925,B,3.815726125
926,B,4.182983381
927,B,2.973431029
928,B,4.580025186
929,B,4.300766921
930,B,4.302730008
931,B,4.106933017
932,B,3.81373166
933,B,4.271002865
934,B,4.214269894
935,B,3.552171502
936,B,3.398478759
937,B,3.871299407
938,B,4.884314106
939,B,2.932625047
940,B,2.772732314
941,B,3.915332589
942,B,3.835621391
943,B,3.921339165
944,B,3.970767239
945,B,3.643758422
946,B,4.842904407
947,B,2.679367215
948,B,3.220052083
949,B,3.727721668
950,B,2.649767832
951,B,3.676901917
952,B,4.963029116
953,B,3.814620542
954,B,3.961490634
955,B,2.917884664
956,B,3.368547014
957,B,3.537362534
958,B,3.577599432
959,B,4.697150657
960,B,4.190383743
961,B,3.02197943
962,B,3.972553345
963,B,4.148755224
964,B,4.598104327
965,B,4.906378481
966,B,3.089434066
967,B,3.232399742
968,B,2.919695499
969,B,3.636186099
970,B,4.126450862
971,B,4.491134162
972,B,3.746834283
973,B,3.576106734
974,B,3.906230595
975,B,3.215399969
976,B,5
977,B,2.674637281
978,B,3.929318405
979,B,5
980,B,3.804759891
981,B,3.666972675
982,B,3.549788204
983,B,3.673725823
984,B,4.760993932
985,B,2.251696662
986,B,4.873403591
987,B,2.803229993
988,B,3.61334337
989,B,3.499528906
990,B,4.211987289
991,B,2.681312954
992,B,4.123520866
993,B,5
994,B,2.845778197
995,B,3.932794317
996,B,3.336612476
997,B,4.098121044
998,B,3.813403444
999,B,3.350959164
1000,B,4.141510599
